date,PPIITM,PPICRM,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAS,CPIULFSL,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,IPMAN,MCUMFN,TCU,M0684AUSM343SNBR,M0504AUSM343SNBR,GDPC1,AMBSL,TOTRESNS,NONBORRES,BUSLOANS,REALLN,NONREVSL,MZMSL,DTCOLNVHFNM,DTCTHFNM,INVEST,FEDFUNDS,CP3M,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,TWEXMMTH,EXSZUS,EXJPUS,EXUSUK,EXCAUS,PPIFGS,PPIFCG,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,CES0600000008,CES2000000008,CES3000000008,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,DPCERA3M086SBEA,CMRMTSPL,RETAIL,ACOGNO,ANDENO,AMDMUO,M1SL,M2SL,M3SL,M2REAL,RPI,W875RX1,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,PAYEMS,USGOOD,CES1021000001,USCONS
1920-05-01,,,,,,,,,,,,,,,,,,,,,,0.002851447428456222,,,,,,,,,,,,,,,,,0.20999999999999996,0.22000000000000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025459189860567166,,,,,,,,,,0.03342367198198759,,,,,,,,,,,,,,,
1920-06-01,,,,,,,,,,,,,,,,,,,,,,0.010631710735422795,,,,,,,,,,,,,,,,,0.1299999999999999,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009986414550696043,,,,,,,,,,0.0,,,,,,,,,,,,,,,
1920-07-01,,,,,,,,,,,,,,,,,,,,,,-0.002348524996925283,,,,,,,,,,,,,,,,,-0.040000000000000036,0.129999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.025184017866625386,,,,,,,,,,-0.038282814330552695,,,,,,,,,,,,,,,
1920-08-01,,,,,,,,,,,,,,,,,,,,,,-0.00555672533604068,,,,,,,,,,,,,,,,,-0.040000000000000036,-0.129999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005091573957928031,,,,,,,,,,0.004859142348565104,,,,,,,,,,,,,,,
1920-09-01,,,,,,,,,,,,,,,,,,,,,,-0.0016046588030176334,,,,,,,,,,,,,,,,,-0.08000000000000007,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0361781660775764,,,,,,,,,,-0.02455480510720709,,,,,,,,,,,,,,,
1920-10-01,,,,,,,,,,,,,,,,,,,,,,-0.011024770973838471,,,,,,,,,,,,,,,,,-0.16999999999999993,-0.15000000000000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.043018460645685375,,,,,,,,,,-0.05629929249636234,,,,,,,,,,,,,,,
1920-11-01,,,,,,,,,,,,,,,,,,,,,,-0.027732210191536932,,,,,,,,,,,,,,,,,0.03000000000000025,0.22000000000000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08601238518258181,,,,,,,,,,-0.11121714865188403,,,,,,,,,,,,,,,
1920-12-01,,,,,,,,,,,,,,,,,,,,,,-0.02231236113623347,,,,,,,,,,,,,,,,,0.17999999999999972,0.34999999999999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.061755525406276046,,,,,,,,,,-0.07319232416257448,,,,,,,,,,,,,,,
1921-01-01,,,,,,,,,,,,,,,,,,,,,,-0.024887276066077213,,,,,,,,,,,,,,,,,-0.1200000000000001,-0.0600000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.059038653747794934,,,,,,,,,,-0.05196006938092146,,,,,,,,,,,,,,,
1921-02-01,,,,,,,,,,,,,,,,,,,,,,-0.03226176276645165,,,,,,,,,,,,,,,,,-0.05999999999999961,-0.08000000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.020463279737095608,,,,,,,,,,0.0,,,,,,,,,,,,,,,
1921-03-01,,,,,,,,,,,,,,,,,,,,,,-0.03323854403589355,,,,,,,,,,,,,,,,,0.0,0.13000000000000078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.027987677795709764,,,,,,,,,,-0.027042261681558877,,,,,,,,,,,,,,,
1921-04-01,,,,,,,,,,,,,,,,,,,,,,-0.01910264260174266,,,,,,,,,,,,,,,,,-0.020000000000000462,-0.02000000000000135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,
1921-05-01,,,,,,,,,,,,,,,,,,,,,,-0.011249676030767874,,,,,,,,,,,,,,,,,0.05000000000000071,-0.009999999999999787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027987677795709764,,,,,,,,,,0.03367712281712243,,,,,,,,,,,,,,,
1921-06-01,,,,,,,,,,,,,,,,,,,,,,-0.02099741883416728,,,,,,,,,,,,,,,,,0.0699999999999994,0.040000000000000924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006923827256098969,,,,,,,,,,-0.006634861135563552,,,,,,,,,,,,,,,
1921-07-01,,,,,,,,,,,,,,,,,,,,,,-0.019717769390876994,,,,,,,,,,,,,,,,,-0.05999999999999961,-0.08000000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006972101073741133,,,,,,,,,,0.0,,,,,,,,,,,,,,,
1921-08-01,,,,,,,,,,,,,,,,,,,,,,-0.01560822650157423,,,,,,,,,,,,,,,,,-0.1299999999999999,0.02999999999999936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03435920806693571,,,,,,,,,,0.03921468877261258,,,,,,,,,,,,,,,
1921-09-01,,,,,,,,,,,,,,,,,,,,,,-0.015399039485828325,,,,,,,,,,,,,,,,,-0.0600000000000005,-0.16999999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006737405421229692,,,,,,,,,,0.012745380608308876,,,,,,,,,,,,,,,
1921-10-01,,,,,,,,,,,,,,,,,,,,,,-0.010201666052410907,,,,,,,,,,,,,,,,,-0.08999999999999986,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05865362466397417,,,,,,,,,,0.04333587091969715,,,,,,,,,,,,,,,
1921-11-01,,,,,,,,,,,,,,,,,,,,,,-0.0001307251114042174,,,,,,,,,,,,,,,,,-0.2400000000000002,-0.45999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012745363472455473,,,,,,,,,,0.012054449306074577,,,,,,,,,,,,,,,
1921-12-01,,,,,,,,,,,,,,,,,,,,,,0.01175331426874826,,,,,,,,,,,,,,,,,-0.09999999999999964,-0.2699999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0064341205257887335,,,,,,,,,,-0.012054449306074577,,,,,,,,,,,,,,,
1922-01-01,,,,,,,,,,,,,,,,,,,,,,0.009082758754869857,,,,,,,,,,,,,,,,,-0.16000000000000014,0.08999999999999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03799802719242562,,,,,,,,,,0.023965317932186148,,,,,,,,,,,,,,,
1922-02-01,,,,,,,,,,,,,,,,,,,,,,0.00996390336917563,,,,,,,,,,,,,,,,,-0.04999999999999982,-0.15000000000000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04255768932607884,,,,,,,,,,0.023381762946204754,,,,,,,,,,,,,,,
1922-03-01,,,,,,,,,,,,,,,,,,,,,,0.023861213864052377,,,,,,,,,,,,,,,,,-0.05999999999999961,-0.09999999999999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05216849242791488,,,,,,,,,,0.045206312161700346,,,,,,,,,,,,,,,
1922-04-01,,,,,,,,,,,,,,,,,,,,,,0.02728487326200879,,,,,,,,,,,,,,,,,-0.08000000000000007,-0.3100000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03448212088898739,,,,,,,,,,0.04325078507939906,,,,,,,,,,,,,,,
1922-05-01,,,,,,,,,,,,,,,,,,,,,,0.009498610440193733,,,,,,,,,,,,,,,,,-0.020000000000000462,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051297644473790927,,,,,,,,,,0.05156364010543468,,,,,,,,,,,,,,,
1922-06-01,,,,,,,,,,,,,,,,,,,,,,0.017636873192017344,,,,,,,,,,,,,,,,,-0.04999999999999982,0.08000000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04879409994543926,,,,,,,,,,0.044226727263726895,,,,,,,,,,,,,,,
