,score,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/activation,config/hidden,config/lr,logdir
46,0.0282828621566295,0.494844913482666,False,930,6e25a_00046,2023-05-13_13-43-13,1683978193,595.4995310306549,4047,Julians-MBP,127.0.0.1,595.4995310306549,930,Sigmoid,6,0.0005,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00046_46_activation=Sigmoid,hidden=6,lr=0.0005_2023-05-13_13-33-17"
123,0.0283130817115306,0.1767578125,False,930,6e25a_00123,2023-05-13_15-15-21,1683983721,233.11751008033752,4047,Julians-MBP,127.0.0.1,233.11751008033752,930,ReLU,1,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00123_123_activation=ReLU,hidden=1,lr=0.0500_2023-05-13_15-11-28"
70,0.0283742453902959,0.3921022415161133,False,930,6e25a_00070,2023-05-13_14-13-09,1683979989,401.871885061264,4049,Julians-MBP,127.0.0.1,401.871885061264,930,Sigmoid,6,0.001,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00070_70_activation=Sigmoid,hidden=6,lr=0.0010_2023-05-13_14-06-27"
42,0.0283862799406051,0.4058098793029785,False,930,6e25a_00042,2023-05-13_13-34-13,1683977653,552.2597529888153,4049,Julians-MBP,127.0.0.1,552.2597529888153,930,Sigmoid,5,0.0005,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00042_42_activation=Sigmoid,hidden=5,lr=0.0005_2023-05-13_13-25-01"
131,0.0283962488174438,0.3027377128601074,False,930,6e25a_00131,2023-05-13_15-24-34,1683984274,283.1498775482178,4049,Julians-MBP,127.0.0.1,283.1498775482178,930,ReLU,3,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00131_131_activation=ReLU,hidden=3,lr=0.0500_2023-05-13_15-19-51"
94,0.0284309219568967,0.383735179901123,False,930,6e25a_00094,2023-05-13_14-43-17,1683981797,540.6627359390259,4047,Julians-MBP,127.0.0.1,540.6627359390259,930,Sigmoid,6,0.005,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00094_94_activation=Sigmoid,hidden=6,lr=0.0050_2023-05-13_14-34-17"
90,0.0284566264599561,0.6251928806304932,False,930,6e25a_00090,2023-05-13_14-34-44,1683981284,363.5614230632782,4048,Julians-MBP,127.0.0.1,363.5614230632782,930,Sigmoid,5,0.005,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00090_90_activation=Sigmoid,hidden=5,lr=0.0050_2023-05-13_14-28-40"
118,0.0284681227058172,0.4769380092620849,False,930,6e25a_00118,2023-05-13_15-11-28,1683983488,416.7225289344788,4049,Julians-MBP,127.0.0.1,416.7225289344788,930,Sigmoid,6,0.01,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00118_118_activation=Sigmoid,hidden=6,lr=0.0100_2023-05-13_15-04-31"
22,0.0284863170236349,0.4413602352142334,False,930,6e25a_00022,2023-05-13_13-07-13,1683976033,468.4323501586914,4048,Julians-MBP,127.0.0.1,468.4323501586914,930,Sigmoid,6,0.0001,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00022_22_activation=Sigmoid,hidden=6,lr=0.0001_2023-05-13_12-59-24"
139,0.0285023022443056,0.3704681396484375,False,930,6e25a_00139,2023-05-13_15-36-46,1683985006,381.69546914100647,4047,Julians-MBP,127.0.0.1,381.69546914100647,930,ReLU,5,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00139_139_activation=ReLU,hidden=5,lr=0.0500_2023-05-13_15-30-24"
66,0.0285027436912059,0.925901174545288,False,930,6e25a_00066,2023-05-13_14-07-05,1683979625,362.5793480873108,4047,Julians-MBP,127.0.0.1,362.5793480873108,930,Sigmoid,5,0.001,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00066_66_activation=Sigmoid,hidden=5,lr=0.0010_2023-05-13_14-01-02"
18,0.0285079032182693,0.538773775100708,False,930,6e25a_00018,2023-05-13_12-59-31,1683975571,436.6329457759857,4049,Julians-MBP,127.0.0.1,436.6329457759857,930,Sigmoid,5,0.0001,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00018_18_activation=Sigmoid,hidden=5,lr=0.0001_2023-05-13_12-52-15"
138,0.0287152957171201,0.3910861015319824,False,930,6e25a_00138,2023-05-13_15-37-17,1683985037,420.5946049690247,4048,Julians-MBP,127.0.0.1,420.5946049690247,930,Sigmoid,5,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00138_138_activation=Sigmoid,hidden=5,lr=0.0500_2023-05-13_15-30-16"
134,0.0287210941314697,0.3733959197998047,False,930,6e25a_00134,2023-05-13_15-30-40,1683984640,366.1641800403595,4049,Julians-MBP,127.0.0.1,366.1641800403595,930,Sigmoid,4,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00134_134_activation=Sigmoid,hidden=4,lr=0.0500_2023-05-13_15-24-34"
122,0.0287775751203298,0.2072010040283203,False,930,6e25a_00122,2023-05-13_15-15-23,1683983723,267.7764430046081,4048,Julians-MBP,127.0.0.1,267.7764430046081,930,Sigmoid,1,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00122_122_activation=Sigmoid,hidden=1,lr=0.0500_2023-05-13_15-10-55"
